place,player,speed_run_time,console,emulated,status,date_achieved
1,xyr6r5wj,5652,3167lw9q,False,verified,2025-07-09T22:36:57Z
2,e8eky2p8,5697,3167lw9q,False,verified,2025-07-05T12:38:05Z
3,qj2o2m7x,5698,3167lw9q,False,verified,2025-07-10T01:38:07Z
4,x31wnl68,5700,3167lw9q,False,verified,2025-07-03T23:14:05Z
5,x7z19eq8,5714,3167lw9q,False,verified,2025-06-28T09:23:01Z
6,jo3v643j,5719,3167lw9q,False,verified,2025-06-30T19:22:42Z
6,jm069ez8,5719,3167lw9q,False,verified,2025-07-06T18:59:37Z
8,x316nv68,5724,3167lw9q,False,verified,2025-06-27T12:02:41Z
9,8d3pgv9x,5729,3167lw9q,False,verified,2025-07-07T22:46:02Z
10,joo666nj,5772,3167lw9q,False,verified,2025-07-09T23:03:12Z
11,18vdwz58,5773,3167lw9q,False,verified,2025-06-29T22:29:42Z
12,8eee39p8,5776,3167lw9q,False,verified,2025-07-07T22:57:10Z
13,qjn3w4xm,5780,3167lw9q,False,verified,2025-06-26T23:55:02Z
14,j426ngdx,5783,3167lw9q,False,verified,2025-06-28T03:02:35Z
15,8r7q7qdj,5788,3167lw9q,False,verified,2025-07-10T04:03:35Z
16,xyo5nyyj,5792,3167lw9q,False,verified,2025-06-30T13:49:03Z
17,8g243l2j,5795,3167lw9q,False,verified,2025-07-08T23:37:08Z
18,8w0mqpzj,5801,3167lw9q,False,verified,2025-07-02T22:15:47Z
19,dx3w7r7j,5808,3167lw9q,False,verified,2025-06-28T08:42:02Z
20,8v70grv8,5817,3167lw9q,False,verified,2025-07-06T01:52:14Z
21,jm7qeqyj,5821,3167lw9q,False,verified,2025-07-01T17:48:17Z
21,8ezz90o8,5821,3167lw9q,False,verified,2025-07-04T17:42:22Z
23,8d3zogox,5828,3167lw9q,False,verified,2025-07-09T12:17:36Z
24,86p7l43j,5832,3167lw9q,False,verified,2025-07-10T00:57:49Z
25,j5rpdgwx,5834,3167lw9q,False,verified,2025-06-26T20:15:05Z
25,o866g358,5834,3167lw9q,False,verified,2025-07-06T17:08:06Z
27,x7gz40vx,5836,3167lw9q,False,verified,2025-07-08T15:42:41Z
28,xyyyqevx,5851,3167lw9q,False,verified,2025-07-10T06:15:53Z
29,18q21q78,5865,3167lw9q,False,verified,2025-06-27T10:03:03Z
30,1xy91mmj,5871,3167lw9q,False,verified,2025-07-03T23:04:55Z
31,867rp5qj,5873,3167lw9q,False,verified,2025-06-28T08:03:28Z
32,j4r91vv8,5879,3167lw9q,False,verified,2025-06-28T02:27:20Z
33,j21134l8,5884,3167lw9q,False,verified,2025-07-05T16:29:45Z
34,x33g12kx,5886,3167lw9q,False,verified,2025-06-26T19:13:55Z
35,x7m9nwvx,5892,3167lw9q,False,verified,2025-06-26T19:14:09Z
36,8rmkoqwj,5899,3167lw9q,False,verified,2025-07-06T03:04:20Z
37,x7gz5erx,5902,3167lw9q,False,verified,2025-06-28T09:17:13Z
38,xk4qnq2j,5905,3167lw9q,False,verified,2025-07-02T17:18:55Z
39,48g9d1rx,5912,3167lw9q,False,verified,2025-07-08T14:05:00Z
40,kj97qdvx,5916,3167lw9q,False,verified,2025-07-03T18:43:52Z
40,86773nwj,5916,3167lw9q,False,verified,2025-07-08T11:24:31Z
42,8lzrnk4x,5917,3167lw9q,False,verified,2025-07-09T18:04:49Z
43,xyyyrlmx,5919,3167lw9q,False,verified,2025-07-06T06:17:25Z
44,8dgq4358,5921,3167lw9q,False,verified,2025-07-06T23:43:57Z
44,18qm69wx,5921,3167lw9q,False,verified,2025-07-09T19:02:02Z
46,18q4yp0x,5928,3167lw9q,False,verified,2025-07-07T16:58:56Z
47,8r2qvnqx,5933,3167lw9q,False,verified,2025-07-04T13:47:26Z
48,8d4o6298,5934,3167lw9q,False,verified,2025-06-29T09:15:38Z
48,qj2mvml8,5934,3167lw9q,False,verified,2025-07-08T00:21:16Z
50,68w2nyq8,5948,3167lw9q,False,verified,2025-06-26T20:37:15Z
51,8r61ykw8,5965,3167lw9q,False,verified,2025-07-04T19:31:47Z
52,j9kyykv8,5970,3167lw9q,False,verified,2025-07-07T08:54:58Z
53,8q34le0j,5978,3167lw9q,False,verified,2025-07-04T20:44:00Z
54,dx3ml28l,5980,3167lw9q,False,verified,2025-06-30T22:47:00Z
54,qj299opx,5980,3167lw9q,False,verified,2025-06-26T19:06:08Z
56,1xym9mnx,5988,3167lw9q,False,verified,2025-07-06T20:27:14Z
57,e8ek62o8,5998,3167lw9q,False,verified,2025-07-05T20:04:16Z
58,kjpwk44x,5999,3167lw9q,False,verified,2025-06-26T19:05:28Z
59,dx3mm78l,6003,3167lw9q,False,verified,2025-07-08T14:29:57Z
60,8q00yr0j,6011,3167lw9q,False,verified,2025-07-08T19:57:13Z
61,0jm5yzex,6016,3167lw9q,False,verified,2025-06-27T13:58:02Z
62,kj94eox4,6023,3167lw9q,False,verified,2025-06-26T19:19:52Z
62,8qz0q6d8,6023,3167lw9q,False,verified,2025-06-30T23:20:28Z
64,18q35djn,6027,3167lw9q,False,verified,2025-06-26T19:02:54Z
65,x77247yx,6047,3167lw9q,False,verified,2025-06-26T21:12:55Z
66,jmo379n8,6063,3167lw9q,False,verified,2025-06-28T01:21:31Z
67,8161worx,6072,3167lw9q,False,verified,2025-06-26T19:15:10Z
68,8rlo07g8,6080,3167lw9q,False,verified,2025-07-05T10:03:56Z
69,18q215w8,6083,3167lw9q,False,verified,2025-07-08T14:28:54Z
70,7j499o58,6111,3167lw9q,False,verified,2025-07-03T17:47:11Z
71,8qoyl6oj,6113,3167lw9q,False,verified,2025-06-28T12:40:45Z
72,jpy79o0j,6114,3167lw9q,False,verified,2025-07-02T09:05:10Z
73,dx3ylg78,6119,3167lw9q,False,verified,2025-07-05T06:07:24Z
74,qj22o5pj,6126,3167lw9q,False,verified,2025-06-27T10:49:50Z
75,y8d95gox,6145,3167lw9q,False,verified,2025-06-27T08:07:51Z
76,8rpee4dj,6165,3167lw9q,False,verified,2025-06-28T00:57:17Z
77,xkz6l07x,6187,3167lw9q,False,verified,2025-07-09T07:15:08Z
78,j9yvelnx,6191,3167lw9q,False,verified,2025-07-01T01:23:03Z
79,8v75o0n8,6248,3167lw9q,False,verified,2025-07-01T07:26:58Z
80,8rpdykqj,6249,3167lw9q,False,verified,2025-07-04T02:35:45Z
81,8q5l7478,6287,3167lw9q,False,verified,2025-07-09T15:35:17Z
82,8vklmeej,6356,3167lw9q,False,verified,2025-06-27T12:42:35Z
83,1xyed5n8,6369,3167lw9q,False,verified,2025-06-30T12:23:39Z
